model,seed,split,edge_keep_ratio,graph_idx,predicted_class,original_prob,fidelity_pos,fidelity_neg,sparsity,edge_fraction_kept,kept_edges,num_edges,runtime_sec
GIN,1,val,0.3,0,1,0.9998161196708679,0.40422549843788147,0.7142036259174347,0.7,0.3,15,50,0.28276801109313965
GIN,1,val,0.3,3,0,0.9720160961151123,0.8202409148216248,0.018249690532684326,0.6818181818181819,0.3181818181818182,7,22,0.2684211730957031
GIN,1,val,0.3,4,1,0.9979534149169922,0.43050116300582886,0.3410267233848572,0.7,0.3,15,50,0.27965807914733887
GIN,1,val,0.3,5,1,0.9979534149169922,0.3968161940574646,0.044208645820617676,0.7,0.3,15,50,0.27890801429748535
GIN,1,val,0.3,6,0,0.5866827964782715,0.8375986814498901,0.0,0.6818181818181819,0.3181818181818182,7,22,0.2688450813293457
GIN,1,val,0.3,8,1,0.8865569233894348,0.13404400646686554,0.5206871330738068,0.7105263157894737,0.2894736842105263,11,38,0.2734382152557373
GIN,1,val,0.3,9,1,0.9995359182357788,0.31664198637008667,0.7520667910575867,0.6956521739130435,0.30434782608695654,14,46,0.27536606788635254
GIN,1,val,0.3,10,1,0.6671680212020874,0.5461211800575256,0.3729541301727295,0.7045454545454546,0.29545454545454547,13,44,0.26975297927856445
GIN,1,val,0.3,15,1,0.9999878406524658,0.34017083048820496,0.10050129890441895,0.696969696969697,0.30303030303030304,20,66,0.28166818618774414
GIN,1,val,0.3,16,1,0.9758970141410828,0.32789182662963867,0.7438583225011826,0.7105263157894737,0.2894736842105263,11,38,0.27368807792663574
GIN,1,val,0.3,17,1,0.9922913908958435,0.5693425536155701,0.07005631923675537,0.6964285714285714,0.30357142857142855,17,56,0.27968597412109375
GIN,1,test,0.3,1,1,0.7048018574714661,0.4731173813343048,0.3219831585884094,0.7045454545454546,0.29545454545454547,13,44,0.27338504791259766
GIN,1,test,0.3,2,0,0.6811432242393494,0.825749933719635,0.0,0.7142857142857143,0.2857142857142857,8,28,0.26980090141296387
GIN,1,test,0.3,3,1,0.9995654225349426,0.5130417943000793,0.08278918266296387,0.6964285714285714,0.30357142857142855,17,56,0.27773380279541016
GIN,1,test,0.3,4,1,0.9997988343238831,0.2502651810646057,0.7434921264648438,0.7083333333333333,0.2916666666666667,14,48,0.2766237258911133
GIN,1,test,0.3,6,0,0.5033804774284363,0.83232182264328,0.0,0.6923076923076923,0.3076923076923077,8,26,0.26876378059387207
GIN,1,test,0.3,8,1,0.9998494386672974,0.27737054228782654,0.7559924870729446,0.7037037037037037,0.2962962962962963,16,54,0.27835607528686523
GIN,1,test,0.3,10,1,0.9908047914505005,0.30974870920181274,0.7536105960607529,0.7105263157894737,0.2894736842105263,11,38,0.2694590091705322
GIN,1,test,0.3,11,1,0.9995552897453308,0.2879800498485565,0.3843396306037903,0.7037037037037037,0.2962962962962963,16,54,0.2784702777862549
GIN,1,test,0.3,12,1,0.9431614279747009,0.3058961033821106,0.7956192642450333,0.7105263157894737,0.2894736842105263,11,38,0.27065515518188477
GIN,1,test,0.3,14,1,0.9999333620071411,0.29801955819129944,0.7582710385322571,0.7045454545454546,0.29545454545454547,13,44,0.26740503311157227
