model,seed,split,edge_keep_ratio,graph_idx,predicted_class,original_prob,fidelity_pos,fidelity_neg,sparsity,edge_fraction_kept,kept_edges,num_edges,runtime_sec
GCN,0,val,0.3,0,1,0.8201133608818054,0.9410174489021301,0.13733088970184326,0.7,0.3,15,50,0.34614014625549316
GCN,0,val,0.3,1,1,0.8206519484519958,0.9219287037849426,0.0,0.7,0.3,15,50,0.32614922523498535
GCN,0,val,0.3,2,0,0.6096503138542175,0.4529755115509033,0.37968809902668,0.7142857142857143,0.2857142857142857,8,28,0.3135712146759033
GCN,0,val,0.3,3,0,0.9697250127792358,0.9719170331954956,0.01519155502319336,0.7083333333333333,0.2916666666666667,14,48,0.3247199058532715
GCN,0,val,0.3,5,1,0.8619768023490906,0.9564077258110046,0.046072304248809814,0.7058823529411764,0.29411764705882354,10,34,0.31352710723876953
GCN,0,val,0.3,6,0,0.7494669556617737,0.5551633834838867,0.18974971771240234,0.7142857142857143,0.2857142857142857,8,28,0.3086400032043457
GCN,0,val,0.3,7,1,0.8909628987312317,0.9453747272491455,0.0,0.7083333333333333,0.2916666666666667,14,48,0.32247400283813477
GCN,0,val,0.3,8,1,0.5236518979072571,0.2159050554037094,0.0,0.7105263157894737,0.2894736842105263,11,38,0.31911396980285645
GCN,0,val,0.3,10,1,0.8039982318878174,0.9466184377670288,0.08645457029342651,0.6964285714285714,0.30357142857142855,17,56,0.32311105728149414
GCN,0,val,0.3,11,1,0.8728539943695068,0.9312477707862854,0.0,0.7105263157894737,0.2894736842105263,11,38,0.3153340816497803
GCN,0,val,0.3,12,1,0.8166592121124268,0.9259467124938965,0.02205681800842285,0.7105263157894737,0.2894736842105263,11,38,0.311784029006958
GCN,0,val,0.3,13,1,0.8939659595489502,0.9525998830795288,0.01252281665802002,0.7037037037037037,0.2962962962962963,16,54,0.3260819911956787
GCN,0,val,0.3,14,1,0.7231989502906799,0.9264125227928162,0.18301278352737427,0.7045454545454546,0.29545454545454547,13,44,0.32000207901000977
GCN,0,val,0.3,15,1,0.7525811195373535,0.4906489849090576,0.0,0.7045454545454546,0.29545454545454547,13,44,0.31972479820251465
GCN,0,val,0.3,16,1,0.8889843821525574,0.9510061144828796,0.0246584415435791,0.7083333333333333,0.2916666666666667,14,48,0.3194770812988281
GCN,0,val,0.3,17,1,0.8829604387283325,0.9342617988586426,0.0,0.7045454545454546,0.29545454545454547,13,44,0.32369303703308105
GCN,0,test,0.3,1,1,0.8841075897216797,0.9473020434379578,0.21098804473876953,0.7045454545454546,0.29545454545454547,13,44,0.32393908500671387
GCN,0,test,0.3,2,1,0.8201133608818054,0.9218244552612305,0.0,0.7,0.3,15,50,0.323436975479126
GCN,0,test,0.3,3,0,0.8690556287765503,0.6351808309555054,0.10256904363632202,0.6818181818181819,0.3181818181818182,7,22,0.30925512313842773
GCN,0,test,0.3,4,1,0.8960403800010681,0.9463033080101013,0.0,0.7037037037037037,0.2962962962962963,16,54,0.31884312629699707
