model,seed,split,edge_keep_ratio,graph_idx,predicted_class,original_prob,fidelity_pos,fidelity_neg,sparsity,edge_fraction_kept,kept_edges,num_edges,runtime_sec
GIN,0,val,0.3,0,1,0.9878315329551697,0.21574968099594116,0.5075339674949646,0.7,0.3,15,50,0.2825281620025635
GIN,0,val,0.3,1,1,0.9936485886573792,0.20839785039424896,0.8757151365280151,0.7,0.3,15,50,0.27506470680236816
GIN,0,val,0.3,2,0,0.7688780426979065,0.9173492789268494,0.0,0.7142857142857143,0.2857142857142857,8,28,0.27243590354919434
GIN,0,val,0.3,3,0,0.9959754347801208,0.9596232175827026,0.0,0.7083333333333333,0.2916666666666667,14,48,0.2804567813873291
GIN,0,val,0.3,4,0,0.6553406715393066,0.9381499886512756,0.0,0.7,0.3,12,40,0.278644323348999
GIN,0,val,0.3,5,1,0.9476310014724731,0.1278185397386551,0.8866494707763195,0.7058823529411764,0.29411764705882354,10,34,0.269956111907959
GIN,0,val,0.3,6,0,0.5780439376831055,0.9764670729637146,0.0,0.7142857142857143,0.2857142857142857,8,28,0.27471470832824707
GIN,0,val,0.3,7,1,0.9660648703575134,0.09040243923664093,0.9131264090538025,0.7083333333333333,0.2916666666666667,14,48,0.2888650894165039
GIN,0,val,0.3,9,0,0.711453914642334,0.9430953860282898,0.0,0.7,0.3,9,30,0.27468395233154297
GIN,0,val,0.3,10,1,0.9916751384735107,0.35043850541114807,0.05747354030609131,0.6964285714285714,0.30357142857142855,17,56,0.2842099666595459
GIN,0,val,0.3,11,1,0.924303412437439,0.12114927172660828,0.8545604422688484,0.7105263157894737,0.2894736842105263,11,38,0.27951717376708984
GIN,0,val,0.3,12,1,0.99595707654953,0.0385746993124485,0.9567649997770786,0.7105263157894737,0.2894736842105263,11,38,0.27280092239379883
GIN,0,val,0.3,13,1,0.9988436698913574,0.09293738752603531,0.29131752252578735,0.7037037037037037,0.2962962962962963,16,54,0.27437305450439453
GIN,0,val,0.3,14,1,0.6930134892463684,0.3839535415172577,0.5912076756358147,0.7045454545454546,0.29545454545454547,13,44,0.27132081985473633
GIN,0,val,0.3,15,1,0.7252317667007446,0.21276846528053284,0.5948076695203781,0.7045454545454546,0.29545454545454547,13,44,0.2777109146118164
GIN,0,val,0.3,16,1,0.9945870637893677,0.08069821447134018,0.9540563225746155,0.7083333333333333,0.2916666666666667,14,48,0.30495214462280273
