pred_class,p_full,p_keep,p_comp,sparsity,fidelity_plus,fidelity_minus,expl_time_sec,num_edges,num_important_edges
1,0.650341272354126,0.5493952035903931,0.6034443378448486,0.75,0.8447798516641499,0.07211126911800991,0.38846802711486816,44,11
1,0.7901636958122253,0.6307173371315002,0.6651089191436768,0.631578947368421,0.7982109789075706,0.1582643917093688,0.37479186058044434,38,14
1,0.7232300639152527,0.5805680751800537,0.7269662022590637,0.5909090909090908,0.8027432820437675,-0.005165905747315236,0.3744378089904785,22,9
0,0.5378313064575195,0.5354936122894287,0.5776751637458801,0.6071428571428572,0.9956534806731719,-0.07408244334231151,0.3676261901855469,28,11
1,0.5435460209846497,0.44000330567359924,0.5178424715995789,0.4545454545454546,0.8095051544605556,0.04728863498716829,0.38155126571655273,22,12
1,0.7564041018486023,0.6456741094589233,0.7477415800094604,0.7833333333333333,0.8536100053938601,0.011452240697758298,0.35791659355163574,60,13
1,0.7143514752388,0.645401656627655,0.5907594561576843,0.5588235294117647,0.9034791401696262,0.1730128982232454,0.3609309196472168,34,15
1,0.6866961717605591,0.5571268200874329,0.7118560075759888,0.7727272727272727,0.8113148769405035,-0.036638963270939184,0.3607923984527588,44,10
0,0.5283772349357605,0.5300357937812805,0.5402522087097168,0.875,1.0031389672678113,-0.022474423553467515,0.35908985137939453,48,6
1,0.6980006694793701,0.5382296442985535,0.6981145739555359,0.7954545454545454,0.7711019026672455,-0.00016318677208548849,0.3675525188446045,44,9
1,0.589313268661499,0.5398953557014465,0.5656896233558655,0.7083333333333333,0.9161432202734975,0.04008673580231725,0.3708326816558838,24,7
1,0.7165447473526001,0.6277362704277039,0.576465368270874,0.6176470588235294,0.8760601103378195,0.19549285595808752,0.36951518058776855,34,13
1,0.7271265387535095,0.5538555979728699,0.7268033027648926,0.8421052631578947,0.7617045568469105,0.0004445388407512407,0.3537418842315674,38,6
1,0.619084358215332,0.6678060293197632,0.4447839558124542,0.5,1.0786995672849558,0.2815454793678571,0.36293458938598633,20,10
1,0.7578468918800354,0.6233320236206055,0.6972427368164062,0.6842105263157895,0.8225038992695068,0.07996886404493242,0.36763739585876465,38,12
1,0.6442548632621765,0.47668930888175964,0.6274719834327698,0.8529411764705882,0.7399079713082013,0.026050063082840857,0.35784268379211426,34,5
1,0.719098687171936,0.5433144569396973,0.6585692763328552,0.75,0.7555492265970319,0.08417399714235363,0.3975362777709961,40,10
1,0.726355791091919,0.5396190881729126,0.7291452884674072,0.8,0.7429129013506066,-0.0038404008196792905,0.3706364631652832,50,10
1,0.8030545115470886,0.6573201417922974,0.7846817970275879,0.7272727272727273,0.8185249349087981,0.022878539694778155,0.35883402824401855,44,12
1,0.8187869191169739,0.5645792484283447,0.8143044114112854,0.8703703703703703,0.6895313484455992,0.005474571712164922,0.4011716842651367,54,7
1,0.8030545115470886,0.5886561274528503,0.7433686852455139,0.7727272727272727,0.7330213814735955,0.07432350537025145,0.37053775787353516,44,10
1,0.7918400168418884,0.6276189684867859,0.7627377510070801,0.6388888888888888,0.7926082985675962,0.036752709153141216,0.3587915897369385,36,13
1,0.767578125,0.530448853969574,0.7598176002502441,0.8636363636363636,0.6910682270545085,0.01011040374522898,0.3772470951080322,66,9
1,0.6986224055290222,0.5952444672584534,0.755121111869812,0.6666666666666667,0.852026019417045,-0.0808715922845431,0.3610520362854004,36,12
1,0.8016156554222107,0.6325672268867493,0.7260329723358154,0.7272727272727273,0.7891153604698206,0.09428793284555537,0.3603799343109131,44,12
1,0.8187869191169739,0.582030177116394,0.8250009417533875,0.8148148148148149,0.710844498766649,-0.007589303750864973,0.37264013290405273,54,10
0,0.6588218212127686,0.6601826548576355,0.5356576442718506,0.5,1.0020655564236804,0.18694611042815124,0.37259507179260254,24,12
0,0.5015071034431458,0.44600555300712585,0.4775271415710449,0.5909090909090908,0.8893304799573752,0.04781579703949168,0.37016797065734863,22,9
1,0.776969313621521,0.5889449715614319,0.7178618311882019,0.5882352941176471,0.7580028724896593,0.07607441040086127,0.39135146141052246,34,14
1,0.5842775106430054,0.5276452302932739,0.6403001546859741,0.6578947368421053,0.9030729759093297,-0.09588362211873447,0.3627662658691406,38,13
0,0.5314269065856934,0.5022271871566772,0.5205032825469971,0.6153846153846154,0.9450541192642687,0.020555270919341062,0.36668920516967773,26,10
1,0.7247956395149231,0.5298082828521729,0.7176693677902222,0.86,0.7309760903180273,0.009832111751486572,0.3785412311553955,50,7
1,0.518815279006958,0.4305582642555237,0.5192723870277405,0.8392857142857143,0.8298874024674769,-0.0008810612163492326,0.36345338821411133,56,9
1,0.767578125,0.5876317620277405,0.6888846755027771,0.7,0.7655660614712547,0.10252174590986796,0.3500552177429199,30,9
1,0.783137857913971,0.6410850286483765,0.7669722437858582,0.6764705882352942,0.8186106981930642,0.02064210530081234,0.3650522232055664,34,11
1,0.6067212224006653,0.5941228866577148,0.7009173035621643,0.5714285714285714,0.9792353798123271,-0.15525430409173002,0.37693333625793457,28,12
1,0.6098825335502625,0.4819004535675049,0.5598152279853821,0.8214285714285714,0.7901529016780571,0.08209335865617828,0.38482022285461426,28,5
